让子弹飞,导演: 姜文 Wen Jiang,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,9.0,1591368人评价
大话西游之月光宝盒,导演: 刘镇伟 Jeffrey Lau,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,1153950人评价
天空之城,导演: 宫崎骏 Hayao Miyazaki,1986,日本,动画 奇幻 冒险,9.1,774187人评价
钢琴家,导演: 罗曼·波兰斯基 Roman Polanski,2002,英国 法国 波兰 德国,剧情 传记 战争 音乐,9.3,580833人评价
指环王2：双塔奇兵,导演: 彼得·杰克逊 Peter Jackson,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.2,706190人评价
海蒂和爷爷,导演: 阿兰·葛斯彭纳 Alain Gsponer,2015,德国 瑞士,剧情 冒险 家庭,9.3,534986人评价
闻香识女人,导演: 马丁·布莱斯 Martin Brest,1992,美国,剧情,9.1,824704人评价
天堂电影院,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,1988,意大利 法国,剧情 爱情,9.2,647186人评价
罗马假日,导演: 威廉·惠勒 William Wyler,1953,美国,喜剧 剧情 爱情,9.1,902220人评价
指环王1：护戒使者,导演: 彼得·杰克逊 Peter Jackson,2001,新西兰 美国,剧情 动作 奇幻 冒险,9.1,796829人评价
大闹天宫,导演: 万籁鸣 Laiming Wan,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),中国大陆,剧情 动画 奇幻 古装,9.4,403808人评价
黑客帝国,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,1999,美国,动作 科幻,9.1,791283人评价
死亡诗社,导演: 彼得·威尔 Peter Weir,1989,美国,剧情,9.2,668627人评价
教父2,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1974,美国,剧情 犯罪,9.3,513466人评价
绿皮书,导演: 彼得·法雷里 Peter Farrelly,2018,美国 中国大陆,剧情 喜剧 传记 音乐,8.9,1531283人评价
狮子王,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff,1994,美国,动画 冒险 歌舞,9.1,786056人评价
辩护人,导演: 杨宇硕 Woo-seok Yang,2013,韩国,剧情,9.2,559153人评价
搏击俱乐部,导演: 大卫·芬奇 David Fincher,1999,美国 德国 意大利,剧情 动作 悬疑 惊悚,9.0,800270人评价
饮食男女,导演: 李安 Ang Lee,1994,中国台湾 美国,剧情 家庭,9.2,577556人评价
美丽心灵,导演: 朗·霍华德 Ron Howard,2001,美国,传记 剧情,9.1,724930人评价
本杰明·巴顿奇事,导演: 大卫·芬奇 David Fincher,2008,美国,剧情 爱情 奇幻,9.0,928895人评价
穿条纹睡衣的男孩,导演: 马克·赫尔曼 Mark Herman,2008,英国 美国,剧情 战争,9.2,520726人评价
窃听风暴,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,2006,德国,剧情 悬疑,9.2,532027人评价
情书,导演: 岩井俊二 Shunji Iwai,1995,日本,剧情 爱情,8.9,1028539人评价
两杆大烟枪,导演: Guy Ritchie,1998,英国,剧情 喜剧 犯罪,9.1,564119人评价
西西里的美丽传说,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,2000,意大利 美国,剧情 战争 情色,8.9,920123人评价
看不见的客人,导演: 奥里奥尔·保罗 Oriol Paulo,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.8,1176768人评价
音乐之声,导演: 罗伯特·怀斯 Robert Wise,1965,美国,剧情 传记 爱情 歌舞,9.1,564965人评价
拯救大兵瑞恩,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,1998,美国,剧情 战争,9.1,610149人评价
飞越疯人院,导演: 米洛斯·福尔曼 Miloš Forman,1975,美国,剧情,9.1,521672人评价
小鞋子,导演: 马基德·马基迪 Majid Majidi,1997,伊朗,剧情 儿童 家庭,9.2,385228人评价
阿凡达,导演: 詹姆斯·卡梅隆 James Cameron,2009,美国,动作 科幻 冒险,8.8,1303515人评价
哈利·波特与死亡圣器(下),导演: 大卫·叶茨 David Yates,2011,美国 英国,奇幻 冒险,9.0,771930人评价
沉默的羔羊,导演: 乔纳森·戴米 Jonathan Demme,1991,美国,剧情 犯罪 惊悚,8.9,829498人评价
致命魔术,导演: 克里斯托弗·诺兰 Christopher Nolan,2006,英国 美国,剧情 悬疑 惊悚,8.9,809134人评价
禁闭岛,导演: Martin Scorsese,2010,美国,剧情 悬疑 惊悚,8.9,911119人评价
布达佩斯大饭店,导演: 韦斯·安德森 Wes Anderson,2014,美国 德国 英国,剧情 喜剧 冒险,8.9,865268人评价
海豚湾,导演: 路易·西霍尤斯 Louie Psihoyos,2009,美国,纪录片,9.3,343714人评价
蝴蝶效应,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,8.9,881895人评价
美国往事,导演: 赛尔乔·莱翁内 Sergio Leone,1984,美国 意大利,犯罪 剧情,9.2,389124人评价
心灵捕手,导演: 格斯·范·桑特 Gus Van Sant,1997,美国,剧情,8.9,666741人评价
低俗小说,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,1994,美国,剧情 喜剧 犯罪,8.9,783441人评价
春光乍泄,导演: 王家卫 Kar Wai Wong,1997,中国香港 日本 韩国,剧情 爱情 同性,9.0,592918人评价
摩登时代,导演: 查理·卓别林 Charles Chaplin,1936,美国,剧情 喜剧 爱情,9.3,280430人评价
喜剧之王,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,中国香港,喜剧 剧情 爱情,8.8,909684人评价
功夫,导演: 周星驰 Stephen Chow,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.8,1031456人评价
七宗罪,导演: 大卫·芬奇 David Fincher,1995,美国,剧情 犯罪 悬疑 惊悚,8.8,897014人评价
哈利·波特与阿兹卡班的囚徒,导演: Alfonso Cuarón,2004,英国 美国,奇幻 冒险,8.9,663524人评价
超脱,导演: 托尼·凯耶 Tony Kaye,2011,美国,剧情,9.0,534217人评价
致命ID,导演: 詹姆斯·曼高德 James Mangold,2003,美国,剧情 悬疑 惊悚,8.8,767713人评价
杀人回忆,导演: 奉俊昊 Joon-ho Bong,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,8.9,660934人评价
红辣椒,导演: 今敏 Satoshi Kon,2006,日本,动画 悬疑 科幻 惊悚,9.1,425526人评价
加勒比海盗,导演: 戈尔·维宾斯基 Gore Verbinski,2003,美国,动作 冒险 奇幻,8.8,810669人评价
狩猎,导演: 托马斯·温特伯格 Thomas Vinterberg,2012,丹麦 瑞典,剧情,9.1,363035人评价
被嫌弃的松子的一生,导演: 中岛哲也 Tetsuya Nakashima,2006,日本,剧情 歌舞,8.9,670604人评价
7号房的礼物,导演: 李焕庆 Hwan-kyeong Lee,2013,韩国,剧情 喜剧 家庭,8.9,522054人评价
请以你的名字呼唤我,导演: 卢卡·瓜达尼诺 Luca Guadagnino,2017,意大利 法国 巴西 美国,剧情 爱情 同性,8.9,673846人评价
剪刀手爱德华,导演: 蒂姆·波顿 Tim Burton,1990,美国,剧情 奇幻 爱情,8.7,991222人评价
唐伯虎点秋香,导演: 李力持 Lik-Chi Lee,1993,中国香港,喜剧 爱情 古装,8.7,1008528人评价
断背山,导演: 李安 Ang Lee,2005,美国 加拿大,剧情 爱情 同性 家庭,8.8,673219人评价
哈利·波特与密室,导演: Chris Columbus,2002,英国 美国,奇幻 冒险,8.8,689894人评价
一一,导演: 杨德昌 Edward Yang,2000,中国台湾 日本,剧情 爱情 家庭,9.1,357717人评价
勇敢的心,导演: 梅尔·吉布森 Mel Gibson,1995,美国,动作 传记 剧情 历史 战争,8.9,537487人评价
入殓师,导演: 泷田洋二郎 Yôjirô Takita,2008,日本,剧情,8.9,627716人评价
第六感,导演: M·奈特·沙马兰 M. Night Shyamalan,1999,美国,剧情 悬疑 惊悚,8.9,523537人评价
爱在黎明破晓前,导演: 理查德·林克莱特 Richard Linklater,1995,美国 奥地利 瑞士,剧情 爱情,8.8,628386人评价
重庆森林,导演: 王家卫 Kar Wai Wong,1994,中国香港,剧情 爱情,8.8,759509人评价
蝙蝠侠：黑暗骑士崛起,导演: 克里斯托弗·诺兰 Christopher Nolan,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.8,679067人评价
幽灵公主,导演: 宫崎骏 Hayao Miyazaki,1997,日本,动画 奇幻 冒险,8.9,494388人评价
天使爱美丽,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet,2001,法国 德国,剧情 喜剧 爱情,8.7,923650人评价
菊次郎的夏天,导演: 北野武 Takeshi Kitano,1999,日本,剧情 喜剧,8.9,558354人评价
